monthly_usage_hours,login_frequency,last_login_days,support_tickets,payment_failures,subscription_plan,renewed
24.95,21.64,6.76,2,1,business,1
19.37,19.15,3.97,1,1,business,1
22.8,19.57,4.25,5,0,growth,1
16.91,18.91,7.68,5,1,growth,1
33.06,21.43,12.81,4,2,business,0
20.87,16.84,3.51,3,0,growth,1
27.56,16.94,5.51,3,0,business,1
36.57,20.17,1.24,2,1,enterprise,1
17.84,23.65,13.88,5,3,growth,0
18.33,22.05,3.55,2,0,business,1
15.0,11.04,5.68,3,1,starter,0
19.4,15.02,9.71,5,2,growth,0
30.97,18.09,12.06,6,1,business,0
28.03,25.62,3.61,2,1,business,1
26.3,16.19,5.48,2,0,business,0
22.9,14.24,6.46,3,1,growth,0
19.48,17.35,4.06,2,1,growth,1
15.17,20.16,16.38,7,1,starter,1
12.19,33.34,5.38,1,1,business,1
13.06,19.9,8.36,3,0,growth,1
15.36,14.42,2.18,1,0,growth,1
29.4,23.17,2.35,0,1,enterprise,1
12.16,17.85,10.82,4,2,growth,1
24.92,20.38,2.87,2,0,business,1
15.88,17.53,3.91,3,1,growth,1
26.14,19.57,5.65,2,0,business,0
28.09,19.85,7.01,3,1,business,0
27.19,16.62,1.57,1,0,business,1
23.77,24.65,4.09,0,1,business,1
18.52,14.55,4.44,3,0,growth,0
26.01,23.13,8.41,5,3,business,0
17.89,16.0,7.34,4,1,growth,0
26.77,26.12,3.1,2,2,business,1
25.3,17.01,8.23,3,0,business,0
16.43,17.69,10.59,4,1,growth,1
21.18,14.18,5.52,3,0,growth,1
19.14,19.2,9.2,2,1,growth,1
19.94,21.05,8.83,4,2,growth,1
22.3,19.98,7.34,3,1,business,1
20.11,21.6,5.51,2,1,business,1
23.94,16.08,12.55,5,1,growth,0
23.84,12.46,5.35,2,0,growth,0
23.59,18.61,8.75,3,1,business,0
25.27,13.85,6.67,4,0,growth,0
20.35,12.31,4.51,2,0,growth,0
17.41,15.16,3.39,2,0,growth,1
21.58,22.79,11.1,3,1,business,1
19.94,21.44,4.83,2,1,business,1
21.61,17.01,4.36,3,1,growth,1
29.97,21.41,8.79,3,1,business,0
25.82,16.82,9.01,4,2,growth,0
15.98,19.44,6.9,4,0,growth,1
24.0,18.65,7.39,3,1,business,0
25.57,19.15,3.84,3,0,business,1
15.52,22.59,2.15,2,0,growth,1
25.83,10.05,7.39,3,0,growth,0
19.78,17.92,12.12,6,3,growth,0
24.47,21.56,9.8,4,2,business,0
32.06,19.72,2.46,1,1,business,1
20.48,15.59,10.49,4,1,growth,0
23.22,24.99,6.6,2,0,business,1
23.4,18.9,4.1,2,1,business,1
16.73,16.22,6.41,3,0,growth,1
28.53,20.03,0.99,1,2,business,1
10.82,19.36,15.7,6,1,starter,1
22.75,14.87,8.73,4,1,growth,0
18.69,12.92,3.75,2,1,growth,1
25.09,14.83,4.84,3,1,growth,0
24.6,17.18,10.12,6,2,growth,0
32.98,21.53,4.2,2,0,business,1
30.32,21.83,2.8,1,1,business,1
18.4,19.02,11.9,5,1,growth,0
22.34,18.27,6.69,2,1,business,1
21.7,24.48,5.62,2,1,business,1
23.29,19.64,4.39,2,2,business,1
